date,retention
24/08/22,1.0
25/08/22,1.0
25/08/22,0.1417910447761194
26/08/22,0.17611580217129072
26/08/22,1.0
26/08/22,0.14925373134328357
27/08/22,0.1791044776119403
27/08/22,1.0
27/08/22,0.1640530759951749
27/08/22,0.2153392330383481
28/08/22,0.2015732546705998
28/08/22,1.0
28/08/22,0.19402985074626866
28/08/22,0.18697225572979492
28/08/22,0.2220408163265306
29/08/22,1.0
29/08/22,0.1417910447761194
29/08/22,0.22057834566240753
29/08/22,0.21959183673469387
29/08/22,0.1700844390832328
29/08/22,0.2192723697148476
30/08/22,0.19179734620024125
30/08/22,1.0
30/08/22,0.17010816125860373
30/08/22,0.18258212375859434
30/08/22,0.21116341627437793
30/08/22,0.11940298507462686
30/08/22,0.19183673469387755
31/08/22,0.16879623402824478
31/08/22,0.16
31/08/22,1.0
31/08/22,0.16417910447761194
31/08/22,0.15560916767189384
31/08/22,0.1461794019933555
31/08/22,0.14820473644003057
31/08/22,0.1455260570304818
01/09/22,0.13959183673469389
01/09/22,0.1455260570304818
01/09/22,0.1303986710963455
01/09/22,0.15845070422535212
01/09/22,0.1652593486127865
01/09/22,1.0
01/09/22,0.15508021390374332
01/09/22,0.16677874915938132
01/09/22,0.1044776119402985
02/09/22,0.14119601328903655
02/09/22,0.158021712907117
02/09/22,0.13864306784660768
02/09/22,1.0
02/09/22,0.15704225352112677
02/09/22,0.15126050420168066
02/09/22,0.17142857142857143
02/09/22,0.19502353732347008
02/09/22,0.14925373134328357
02/09/22,0.1830799735624587
03/09/22,0.1212624584717608
03/09/22,0.11194029850746269
03/09/22,0.14595898673100122
03/09/22,0.13667649950835792
03/09/22,0.1763265306122449
03/09/22,0.16543375924680565
03/09/22,0.16424751718869365
03/09/22,0.17183098591549295
03/09/22,0.17647058823529413
03/09/22,0.1981981981981982
03/09/22,1.0
04/09/22,0.1436210847975554
04/09/22,0.13510253317249699
04/09/22,0.13224489795918368
04/09/22,0.16267605633802817
04/09/22,0.20841995841995842
04/09/22,0.16677874915938132
04/09/22,0.18071012188659247
04/09/22,0.14945919370698132
04/09/22,1.0
04/09/22,0.14925373134328357
04/09/22,0.13122923588039867
04/09/22,0.17911434236615995
05/09/22,0.09046214355948869
05/09/22,0.1056338028169014
05/09/22,0.14679385267620562
05/09/22,0.12653061224489795
05/09/22,0.16393442622950818
05/09/22,0.13747521480502314
05/09/22,0.06716417910447761
05/09/22,0.11212624584717608
05/09/22,0.08323281061519903
05/09/22,0.10236822001527884
05/09/22,1.0
05/09/22,0.12777404169468728
05/09/22,0.1787941787941788
06/09/22,0.10558170813718896
06/09/22,0.13012295081967212
06/09/22,0.10808876163206872
06/09/22,0.09306122448979592
06/09/22,1.0
06/09/22,0.07142857142857142
06/09/22,0.0856453558504222
06/09/22,0.09647887323943662
06/09/22,0.09253139458030403
06/09/22,0.05223880597014925
06/09/22,0.13089560148383678
06/09/22,0.07868601986249045
06/09/22,0.11746361746361747
06/09/22,0.0855457227138643
07/09/22,0.13773388773388773
07/09/22,0.08554817275747509
07/09/22,0.10494571773220748
07/09/22,0.1036734693877551
07/09/22,0.10127826941986234
07/09/22,0.1603483606557377
07/09/22,0.09167303284950344
07/09/22,0.151033386327504
07/09/22,0.05223880597014925
07/09/22,0.11971830985915492
07/09/22,0.11566424322538003
07/09/22,1.0
07/09/22,0.12156862745098039
07/09/22,0.1231209735146743
07/09/22,0.11903160726294552
08/09/22,0.1062542030934768
08/09/22,0.12156862745098039
08/09/22,0.09144542772861357
08/09/22,0.08021390374331551
08/09/22,0.08805790108564536
08/09/22,0.09053156146179402
08/09/22,0.09647887323943662
08/09/22,0.06716417910447761
08/09/22,0.10310641110376735
08/09/22,0.1671388101983003
08/09/22,0.13460519342872285
08/09/22,0.1444906444906445
08/09/22,1.0
08/09/22,0.15829918032786885
08/09/22,0.15175375805297064
08/09/22,0.08571428571428572
